호선,역명,구주소,도로명주소,전화번호,위도,경도
2호선,을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),서울특별시 중구 을지로 지하106(을지로3가),02-6110-2031,37.56626594615,126.990308356253
2호선,을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),서울특별시 중구 을지로 지하178(을지로4가),02-6110-2041,37.5666369941572,126.997852780281
2호선,동대문역사문화공원(DDP),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),서울특별시 중구 을지로 지하279(을지로7가),02-6110-2051,37.5655895229776,127.009131498424
2호선,신당,서울특별시 중구 신당동 99 신당역(2호선),서울특별시 중구 퇴계로 지하431-1(신당동),02-6110-2061,37.5656540317328,127.019540574485
2호선,상왕십리,서울특별시 성동구 하왕십리동 946-14 상왕십리역(2호선),서울특별시 성동구 왕십리로 지하374(하왕십리동),02-6110-2071,37.5644687111181,127.029031221392
2호선,왕십리(성동구청),서울특별시 성동구 행당동 192 왕십리역(2호선),서울특별시 성동구 왕십리로 지하300(행당동),02-6110-2081,37.5612217415191,127.036655378283
2호선,한양대,서울특별시 성동구 행당동 산17 한양대역(2호선),서울특별시 성동구 왕십리로 206(행당동),02-6110-2091,37.55557788354,127.043584493543
2호선,뚝섬,서울특별시 성동구 성수동1가 656-745 뚝섬역(2호선),서울특별시 성동구 아차산로 18(성수동1가),02-6110-2101,37.5471882244091,127.047365178682
2호선,성수,서울특별시 성동구 성수동2가 300-1 성수역(2호선),서울특별시 성동구 아차산로 100(성수동2가),02-6110-2111,37.5445023983984,127.056090471223
2호선,건대입구,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),서울특별시 광진구 아차산로 243(화양동),02-6110-2121,37.5404188872176,127.069173281554
2호선,구의(광진구청),서울특별시 광진구 구의동 245-24 구의역(2호선),서울특별시 광진구 아차산로 384-1(구의동),02-6110-2131,37.5371535596228,127.086179228767
2호선,강변(동서울터미널),서울특별시 광진구 구의동 546-6 강변역(2호선),서울특별시 광진구 강변역로 53(구의동),02-6110-2141,37.5351692767888,127.094664569096
2호선,잠실나루,서울특별시 송파구 신천동 15 잠실나루역(2호선),서울특별시 송파구 오금로 20(신천동),02-6110-2151,37.5206867318088,127.103811089444
2호선,잠실(송파구청),서울특별시 송파구 신천동 8 잠실역(2호선),서울특별시 송파구 올림픽로 지하265(신천동),02-6110-2161,37.513859279255,127.101857941447
2호선,잠실새내,서울특별시 송파구 잠실동 33 잠실새내역(2호선),서울특별시 송파구 올림픽로 지하140(잠실동),02-6110-2171,37.5115918057305,127.086375252836
2호선,종합운동장,서울특별시 송파구 잠실동 122 종합운동장역(2호선),서울특별시 송파구 올림픽로 지하23(잠실동),02-6110-2181,37.5109692748993,127.073356018706
2호선,삼성(무역센터),서울특별시 강남구 삼성동 172-66 삼성역(2호선),서울특별시 강남구 테헤란로 지하538(삼성동),02-6110-2191,37.5088619974404,127.063073009788
2호선,선릉,서울특별시 강남구 삼성동 172-66 선릉역(2호선),서울특별시 강남구 테헤란로 지하340(삼성동),02-6110-2201,37.5045028775835,127.048942471228
2호선,역삼,서울특별시 강남구 역삼동 804 역삼역(2호선),서울특별시 강남구 테헤란로 지하156(역삼동),02-6110-2211,37.5007162693593,127.036618203089
2호선,강남,서울특별시 강남구 역삼동 858 강남역(2호선),서울특별시 강남구 강남대로 지하396(역삼동),02-6110-2221,37.4981646510326,127.028307900881
2호선,"교대(법원, 검찰청)",서울특별시 서초구 서초동 1748-4 교대역(2호선),서울특별시 서초구 서초대로 지하294(서초동),02-6110-2231,37.4928178646055,127.013838469407
2호선,서초,서울특별시 서초구 서초동 1748-5 서초역(2호선),서울특별시 서초구 서초대로 지하233(서초동),02-6110-2241,37.4918229990093,127.007580814715
2호선,방배,서울특별시 서초구 방배동 912-14 방배역(2호선),서울특별시 서초구 방배로 지하80(방배동),02-6110-2251,37.4814364876589,126.997694899327
2호선,사당,서울특별시 동작구 사당동 1129 사당역(2호선),서울특별시 동작구 남부순환로 지하2089(사당동),02-6110-2261,37.4765228347619,126.981408909449
2호선,낙성대(강감찬),서울특별시 관악구 봉천동 1693-39 낙성대역(2호선),서울특별시 관악구 남부순환로 지하1928(봉천동),02-6110-2271,37.4770651843603,126.963409959152
2호선,서울대입구(관악구청),서울특별시 관악구 봉천동 979-2 서울대입구역(2호선),서울특별시 관악구 남부순환로 지하1822(봉천동),02-6110-2281,37.4811526631844,126.952645104944
2호선,봉천,서울툭별시 관악구 봉천동 979-7 봉천역(2호선),서울특별시 관악구 남부순환로 지하1721(봉천동),02-6110-2291,37.4825562153548,126.941495272047
2호선,신림,서울특별시 관악구 신림동 1467-10 신림역(2호선),서울특별시 관악구 남부순환로 지하1614(신림동),02-6110-2301,37.4842176141092,126.92980331103
2호선,신대방,서울특별시 동작구 신대방동 643-1 신대방역(2호선),서울특별시 동작구 대림로 2(신대방동),02-6110-2311,37.4875759745635,126.913175585996
2호선,구로디지털단지,서울특별시 구로구 구로동 810-3 구로디지털단지역(2호선),서울특별시 구로구 도림천로 477(구로동),02-6110-2321,37.4853149237865,126.901494378412
2호선,대림(구로구청),서울특별시 구로구 구로동 1204 대림역(2호선),서울특별시 구로구 도림천로 351(구로동),02-6110-2331,37.4933105886136,126.8949461878
2호선,신도림,서울특별시 구로구 신도림동 460-26 신도림역(2호선),서울특별시 구로구 새말로 지하 117-21(신도림동),02-6110-2341,37.5087701449787,126.891080501385
2호선,문래,서울특별시 영등포구 문래동3가 68-1 문래역(2호선),서울특별시 영등포구 당산로 지하28(문래동3가),02-6110-2351,37.5179214637526,126.894763060556
2호선,영등포구청,서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),서울특별시 영등포구 당산로 지하121(당산동3가),02-6110-2361,37.5256996614804,126.896626898379
2호선,당산,서울특별시 영등포구 당산동 6가 323-1 당산역(2호선),서울특별시 영등포구 당산로 229(당산동6가),02-6110-2371,37.534956866618,126.90273071003
2호선,합정,서울특별시 마포구 서교동 393 합정역(2호선),서울특별시 마포구 양화로 지하55(서교동),02-6110-2381,37.5501152068908,126.914638180431
2호선,홍대입구,서울특별시 마포구 동교동 165 홍대입구역(2호선),서울특별시 마포구 양화로 지하160(동교동),02-6110-2391,37.5568904093718,126.923674307594
2호선,신촌(지하),서울특별시 마포구 노고산동 31-11 신촌역(2호선),서울특별시 마포구 신촌로 지하90(노고산동),02-6110-2401,37.5554417865984,126.936119192554
2호선,이대,서울특별시 마포구 염리동 8-85 이대역(2호선),서울특별시 마포구 신촌로 지하180(염리동),02-6110-2411,37.5567980142044,126.945758201019
2호선,아현,서울특별시 마포구 아현동 354-23 아현역(2호선),서울특별시 마포구 신촌로 지하270(아현동),02-6110-2421,37.5573575723061,126.95603374504
2호선,충정로(경기대입구),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),서울특별시 서대문구 서소문로 지하17(충정로3가),02-6110-2431,37.5598377952439,126.964474043785
2호선,용답,서울특별시 성동구 용답동 127 용답역(2호선),서울특별시 성동구 용답길 86(용답동),02-6110-1341,37.5620049052662,127.050729309179
2호선,신답,서울특별시 성동구 용답동 129-2 신답역(2호선),서울특별시 성동구 천호대로 232(용답동),02-6110-1351,37.5699910562183,127.046820203556
2호선,신설동,서울특별시 동대문구 신설동 76-5 신설동역(2호선),서울특별시 동대문구 왕산로 지하 1(신설동),02-6110-1371,37.5747187974165,127.025093714935
2호선,도림천,서울특별시 구로구 신도림동 323-16 도림천역(2호선),서울특별시 구로구 경인로67길 160(신도림동),02-6110-2441,37.5144420510515,126.882702584468
2호선,양천구청,서울특별시 양천구 신정동 276-7 양천구청역(2호선),서울특별시 양천구 목동로3길 지하33(신정동),02-6110-2451,37.5126989358446,126.866065211751
2호선,신정네거리,서울특별시 양천구 신정동 1231 신정네거리역(2호선),서울특별시 양천구 중앙로 지하261(신정동),02-6110-2461,37.5197975266787,126.852991645059
2호선,용두(동대문구청),서울특별시 동대문구 용두동 47-1 용두역(2호선),서울특별시 동대문구 천호대로 지하129(용두동),02-6110-1361,37.5739380503267,127.038031119837
3호선,지축,경기도 고양시 덕양구 지축동 818-64 지축역(3호선),경기도 고양시 덕양구 삼송로 300(지축동),02-6110-3191,37.6496180734177,126.912167788573
3호선,구파발,서울특별시 은평구 진관동 67-26 구파발역(3호선),서울특별시 은평구 진관2로 지하15-25 (진관동),02-6110-3201,37.6368417889316,126.918745426412
3호선,연신내,서울특별시 은평구 갈현동 397 연신내역(3호선),서울특별시 은평구 통일로 지하849(갈현동),02-6110-3211,37.618962003178,126.921162124977
3호선,불광,서울특별시 은평구 대조동 13-10 불광역(3호선),서울특별시 은평구 통일로 지하723-1(대조동),02-6110-3221,37.6102072578868,126.92998576213
3호선,녹번,서울특별시 은평구 녹번동 55 녹번역(3호선),서울특별시 은평구 통일로 지하602-1(녹번동),02-6110-3231,37.6007672113884,126.936154179023
3호선,홍제,서울특별시 서대문구 홍제동 161-1 홍제역(3호선),서울특별시 서대문구 통일로 지하440-1(홍제동),02-6110-3241,37.5887103667691,126.944242309924
3호선,무악재,서울특별시 서대문구 홍제동 26-1 무악재역(3호선),서울특별시 서대문구 통일로 지하361(홍제동),02-6110-3251,37.5823841472467,126.950322097494
3호선,독립문,서울특별시 서대문구 현저동 101 독립문역(3호선),서울특별시 서대문구 통일로 지하247(현저동),02-6110-3261,37.5744103589329,126.957750279047
3호선,경복궁(정부서울청사),서울특별시 종로구 적선동 81-1 경복궁역(3호선),서울특별시 종로구 사직로 지하130(적선동),02-6110-3271,37.5758613027702,126.973062710191
3호선,안국,서울특별시 종로구 안국동 73-1 안국역(3호선),서울특별시 종로구 율곡로 지하62(안국동),02-6110-3281,37.5767203705556,126.985823042976
3호선,종로3가,서울특별시 종로구 묘동 20-5 종로3가역(3호선),서울특별시 종로구 돈화문로 지하30(묘동),02-6110-3291,37.5711402785938,126.991994361467
3호선,을지로3가,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),서울특별시 중구 을지로 지하129(을지로3가),02-6110-3301,37.5662750350156,126.992650024369
3호선,충무로,서울특별시 중구 필동2가 16-2 충무로역(3호선),서울특별시 중구 퇴계로 지하214(필동2가),02-6110-4231,37.5612890978954,126.994207448462
3호선,동대입구,서울특별시 중구 장충동2가 199-3 동대입구역(3호선),서울특별시 중구 동호로 지하256(장충동2가),02-6110-3321,37.559030224347,127.005460196954
3호선,약수,서울특별시 중구 신당동 369-44 약수역(3호선),서울특별시 중구 다산로 지하122(신당동),02-6110-3331,37.5545595558163,127.010822526737
3호선,금호,서울특별시 성동구 금호동4가 1470 금호역(3호선),서울특별시 성동구 동호로 지하104(금호동4가),02-6110-3341,37.5481125196986,127.015893753726
3호선,옥수,서울특별시 성동구 옥수동 168-1 옥수역(3호선),서울특별시 성동구 동호로 21(옥수동),02-6110-3351,37.5409877747326,127.018965435917
3호선,압구정,서울특별시 강남구 신사동 668 압구정역(3호선),서울특별시 강남구 압구정로 지하172(신사동),02-6110-3361,37.5264308236177,127.028480919224
3호선,신사,서울특별시 강남구 신사동 667 신사역(3호선),서울특별시 강남구 도산대로 지하102(신사동),02-6110-3371,37.5164324582415,127.020326886309
3호선,잠원,서울특별시 서초구 잠원동 100-1 잠원역(3호선),서울특별시 서초구 잠원로4길 지하46(잠원동),02-6110-3381,37.5127991148107,127.01122017966
3호선,고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),서울특별시 서초구 신반포로 지하188(반포동),02-6110-3391,37.5049267445237,127.004949918697
3호선,"교대(법원, 검찰청)",서울특별시 서초구 서초동 1748-4 교대역(3호선),서울특별시 서초구 서초대로 지하294(서초동),02-6110-3401,37.4928178646055,127.013838469407
3호선,남부터미널(예술의전당),서울특별시 서초구 서초동 1748-30 남부터미널역(3호선),서울특별시 서초구 서초중앙로 지하31(서초동),02-6110-3411,37.48514016604,127.016207055102
3호선,양재(서초구청),서울특별시 서초구 서초동 1366-9 양재역(3호선),서울특별시 서초구 남부순환로 지하2585(서초동),02-6110-3421,37.4839347328908,127.034544193436
3호선,매봉,서울특별시 강남구 도곡동 179-2 매봉역(3호선),서울특별시 강남구 남부순환로 지하2744(도곡동),02-6110-3431,37.4869611285839,127.046614560925
3호선,도곡,서울특별시 강남구 도곡동 339-2 도곡역(3호선),서울특별시 강남구 남부순환로 지하2814(도곡동),02-6110-3441,37.4908647717187,127.05532337372
3호선,대치,서울특별시 강남구 대치동 317-3 대치역(3호선),서울특별시 강남구 남부순환로 지하2952(대치동),02-6110-3451,37.4945627553067,127.063430193449
3호선,학여울,서울특별시 강남구 대치동 514-3 학여울역(3호선),서울특별시 강남구 남부순환로 지하3104(대치동),02-6110-3461,37.4967171864138,127.071718971861
3호선,대청,서울특별시 강남구 일원동 700-9 대청역(3호선),서울특별시 강남구 일원로 지하2(일원동),02-6110-3471,37.4937218597788,127.079493645766
3호선,일원,서울특별시 강남구 일원동 717 일원역(3호선),서울특별시 강남구 일원로 지하121(일원동),02-6110-3481,37.4840735840284,127.084451750048
3호선,수서,서울특별시 강남구 수서동 728 수서역(3호선),서울특별시 강남구 광평로 지하270(수서동),02-6110-3491,37.4873889933503,127.101859191018
3호선,가락시장,서울특별시 송파구 가락동 184-23 가락시장역(3호선),서울특별시 송파구 송파대로 지하257(가락동),02-6110-3501,37.4927440321316,127.118485741487
3호선,경찰병원,서울특별시 송파구 가락동 10-15 경찰병원역(3호선),서울특별시 송파구 중대로 지하149(가락동),02-6110-3511,37.4956031419934,127.124067847413
3호선,오금,서울특별시 송파구 오금동 44-2 오금역(3호선),서울특별시 송파구 오금로 지하321(오금동),02-6110-3521,37.5022659793733,127.127879247544
4호선,당고개,서울특별시 노원구 상계동 111 당고개역(4호선),서울특별시 노원구 상계로 305(상계동),02-6110-4091,37.6702926448965,127.079011159467
4호선,상계,서울특별시 노원구 상계동 156-203 상계역(4호선),서울특별시 노원구 상계로 182(상계동),02-6110-4101,37.6609038887184,127.073575379339
4호선,노원,서울특별시 노원구 상계동 602-5 노원역(4호선),서울특별시 노원구 상계로 69-1(상계동),02-6110-4111,37.6562677764281,127.063030448739
4호선,창동,서울특별시 도봉구 창동 135-1 창동역(4호선),서울특별시 도봉구 마들로11길 77(창동),02-6110-4121,37.6532084846758,127.04768378525
4호선,쌍문,서울특별시 도봉구 창동 703-4 쌍문역(4호선),서울특별시 도봉구 도봉로 지하 486-1(창동),02-6110-4131,37.6488498649136,127.034880717215
4호선,수유(강북구청),서울특별시 강북구 수유동 140 수유역(4호선),서울특별시 강북구 도봉로 지하338(수유동),02-6110-4141,37.6377452337445,127.025356901379
4호선,미아(서울사이버대학),서울특별시 강북구 미아동 194-1 미아역(4호선),서울특별시 강북구 도봉로 지하198(미아동),02-6110-4151,37.6264436445109,127.026103434413
4호선,미아사거리 ,서울특별시 강북구 미아동 66-1 미아사거리역(4호선),서울특별시 강북구 도봉로 지하50(미아동),02-6110-4161,37.6132861094991,127.030098418544
4호선,길음,서울특별시 성북구 길음동 877-66 길음역(4호선),서울특별시 성북구 동소문로 지하248(길음동),02-6110-4171,37.6028525619666,127.024653125727
4호선,성신여대입구(돈암),서울특별시 성북구 동선동4가 1 성신여대입구역(4호선),서울특별시 성북구 동소문로 지하102(동선동4가),02-6110-4181,37.5927179261346,127.016477649743
4호선,한성대입구(삼선교),서울특별시 성북구 삼선동1가 14 한성대입구역(4호선),서울특별시 성북구 삼선교로 지하1(삼선동1가),02-6110-4191,37.5883948842004,127.00595033342
4호선,혜화,서울특별시 종로구 명륜4가 96-5 혜화역(4호선),서울특별시 종로구 대학로 지하120(명륜4가),02-6110-4201,37.5818036223189,127.001978401429
4호선,동대문,서울특별시 종로구 종로6가 287-1 동대문역(4호선),서울특별시 종로구 율곡로 지하308(종로6가),02-6110-4211,37.5704117093421,127.009546610861
4호선,동대문역사문화공원(DDP),서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),서울특별시 중구 장충단로 지하230(광희동2가),02-6110-4221,37.5650787698586,127.007550653481
4호선,충무로,서울특별시 중구 필동2가 16-2 충무로역(4호선),서울특별시 중구 퇴계로 지하214(필동2가),02-6110-4231,37.5612890978954,126.994207448462
4호선,명동,서울특별시 중구 충무로2가 109-2 명동역(4호선),서울특별시 중구 퇴계로 지하126(충무로2가),02-6110-4241,37.5609100751113,126.985947030389
4호선,회현(남대문시장),서울특별시 중구 남창동 64-1 회현역(4호선),서울특별시 중구 퇴계로 지하54(남창동),02-6110-4251,37.5585353196435,126.978239147279
4호선,서울,서울특별시 용산구 동자동 14-151 서울역 (4호선),서울특별시 용산구 한강대로 지하392(동자동),02-6110-4261,37.5532000173323,126.972805485095
4호선,숙대입구(갈월),서울특별시 용산구 갈월동 16-7 숙대입구역(4호선),서울특별시 용산구 한강대로 지하306(갈월동),02-6110-4271,37.5451939759064,126.971872351838
4호선,삼각지,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),서울특별시 용산구 한강대로 지하180(한강로1가),02-6110-4281,37.5345937063675,126.973011032988
4호선,신용산,서울특별시 용산구 한강로2가 181 신용산역(4호선),서울특별시 용산구 한강대로 지하112(한강로2가),02-6110-4291,37.5296155628471,126.968215931799
4호선,이촌(국립중앙박물관),서울특별시 용산구 용산동5가 17-112 이촌역(4호선),서울특별시 용산구 서빙고로 지하83(용산동5가),02-6110-4301,37.522520254623,126.973683151228
4호선,동작(현충원),서울특별시 동작구 동작동 327-1 동작역(4호선),서울특별시 동작구 현충로 257(동작동),02-6110-4311,37.5028703671011,126.980268385443
4호선,총신대입구(이수),서울특별시 동작구 사당동 736-1 총신대입구(이수)역(4호선),서울특별시 동작구 동작대로 지하117(사당동),02-6110-4321,37.4875538278198,126.982199707405
4호선,사당,서울특별시 동작구 사당동 588-44 사당역(4호선),서울특별시 동작구  동작대로 지하3(사당동),02-6110-4331,37.4768632653727,126.981595139341
4호선,남태령,서울특별시 서초구 방배동 2909 남태령역(4호선),서울특별시 서초구 과천대로 지하816(방배동),02-6110-4341,37.4648575576518,126.988656544337
5호선,방화,서울특별시 강서구 방화동 829-15 방화역(5호선),서울특별시 강서구 금낭화로 지하132(방화동),02-6311-5101,37.5770031079469,126.81262993382
5호선,개화산,서울특별시 강서구 방화동 846 개화산역(5호선),서울특별시 강서구 양천로 22(방화동),02-6311-5111,37.572270024754,126.806001672732
5호선,김포공항,서울특별시 강서구 방화동 886 김포공항역(5호선),서울특별시 강서구 하늘길 지하77(방화동),02-6311-5121,37.562313207852,126.801278424065
5호선,송정,서울특별시 강서구 공항동 29-5 송정역(5호선),서울특별시 강서구 공항대로 지하33(공항동),02-6311-5131,37.5614775483136,126.811055407613
5호선,마곡,서울특별시 강서구 마곡동 769-3 마곡역(5호선),서울특별시 강서구 공항대로 지하163(마곡동),02-6311-5141,37.5601984535897,126.825547992125
5호선,발산,서울특별시 강서구 마곡동 727-1496 발산역(5호선),서울특별시 강서구 공항대로 지하267(마곡동),02-6311-5151,37.5590292668195,126.837310771961
5호선,우장산,서울특별시 강서구 화곡동 1089-3 우장산역(5호선),서울특별시 강서구 강서로 지하262(화곡동),02-6311-5161,37.5490001953873,126.836408931785
5호선,화곡,서울특별시 강서구 화곡동 1089-54 화곡역(5호선),서울특별시 강서구 화곡로 지하168(화곡동),02-6311-5171,37.5414336176977,126.840496450153
5호선,까치산,서울특별시 강서구 화곡동 662-5 까치산역(5호선),서울특별시 강서구 강서로 지하54(화곡동),02-6311-5181,37.5319560847746,126.846611592059
5호선,신정(은행정),서울특별시 양천구 신정동 1090 신정역(5호선),서울특별시 양천구 오목로 지하179(신정동),02-6311-5191,37.5252107928783,126.857290392028
5호선,목동,서울특별시 양천구 목동 926-3 목동역(5호선),서울특별시 양천구 오목로 지하245(목동),02-6311-5201,37.52619868083,126.864742584692
5호선,오목교(목동운동장앞),서울특별시 양천구 목동 406-30 오목교역(5호선),서울특별시 양천구 오목로 지하342(목동),02-6311-5211,37.5244500703802,126.875354626254
5호선,양평,서울특별시 영등포구 양평동2가 33-79 양평역(5호선),서울특별시 영등포구 양산로 지하21(양평동2가),02-6311-5221,37.5255116853806,126.886865676125
5호선,영등포구청,서울특별시 영등포구 당산동3가 556-1 영등포구청역(5호선),서울특별시 영등포구 양산로 지하116(당산동3가),02-6311-5231,37.5242266062117,126.895289064995
5호선,영등포시장,서울특별시 영등포구 영등포동5가 62-1 영등포시장역(5호선),서울특별시 영등포구 양산로 지하200(영등포동5가),02-6311-5241,37.5227345248969,126.904959169819
5호선,신길,서울특별시 영등포구 영등포동1가 35 신길역(5호선),서울특별시 영등포구 경인로114가길 지하9(영등포동1가),02-6311-5251,37.5176677017212,126.914336937521
5호선,여의도,서울특별시 영등포구 여의도동 3 여의도역(5호선),서울특별시 영등포구 여의나루로 지하40(여의도동),02-6311-5261,37.5218423045786,126.924484687694
5호선,여의나루,서울특별시 영등포구 여의도동 84-4 여의나루역(5호선),서울특별시 영등포구 여의동로 지하343(여의도동),02-6311-5271,37.5270851610199,126.932863954929
5호선,마포,서울특별시 마포구 도화동 160 마포역(5호선),서울특별시 마포구 마포대로 지하33(도화동),02-6311-5281,37.5395837885645,126.945920370023
5호선,공덕,서울특별시 마포구 공덕동 423-29 공덕역(5호선),서울특별시 마포구 마포대로 지하100(공덕동),02-6311-5291,37.5445267873155,126.951363830233
5호선,애오개,서울특별시 마포구 아현동 612 애오개역(5호선),서울특별시 마포구 마포대로 지하210(아현동),02-6311-5301,37.5533624029594,126.95661326016
5호선,충정로(경기대입구),서울특별시 서대문구 충정로3가 248-1 충정로역(5호선),서울특별시 서대문구 충정로 지하 28-1(충정로3가),02-6311-5311,37.5609934378336,126.963373255365
5호선,서대문,서울특별시 종로구 평동 210 서대문역(5호선),서울특별시 종로구 통일로 지하126(평동),02-6311-5321,37.565856271913,126.966637398787
5호선,광화문(세종문화회관),서울특별시 종로구 세종로 1-68 5호선 광화문역(5호선),서울특별시 종로구 세종대로 지하172(세종로),02-6311-5331,37.5716228232824,126.976787992565
5호선,종로3가(탑골공원),서울특별시 종로구 돈의동 39-1 5호선 종로3가역(5호선),서울특별시 종로구 돈화문로11길 지하 26(돈의동),02-6311-5341,37.5725695604894,126.99006167065
5호선,을지로4가,서울특별시 중구 주교동 191 을지로4가역(5호선),서울특별시 중구 창경궁로 지하51(주교동),02-6311-5351,37.5675250192617,126.998059555897
5호선,동대문역사문화공원(DDP),서울특별시 중구 광희동1가 235-6 동대문역사문화공원역(5호선),서울특별시 중구 마른내로 지하162(광희동1가),02-6311-5361,37.5645770081888,127.005916180124
5호선,청구,서울특별시 중구 신당동 295-2 청구역(5호선),서울특별시 중구 청구로 지하77(신당동),02-6311-5371,37.5602939125022,127.013806006802
5호선,신금호,서울특별시 성동구 금호동2가 223-1 신금호역(5호선),서울특별시 성동구 금호로 지하154(금호동2가),02-6311-5381,37.5545324884294,127.020064146247
5호선,행당,서울특별시 성동구 행당동 317-241 행당역(5호선),서울특별시 성동구 행당로 지하89(행당동),02-6311-5391,37.5572784369263,127.029232035475
5호선,왕십리(성동구청),서울특별시 성동구 행당동 192 왕십리역(5호선),서울특별시 성동구 왕십리로 지하300(행당동),02-6311-5401,37.5612217415191,127.036655378283
5호선,마장,서울특별시 성동구 마장동 804 마장역(5호선),서울특별시 성동구 마장로 지하296(마장동),02-6311-5411,37.5662827804848,127.043163438528
5호선,답십리,서울특별시 성동구 용답동 99 답십리역(5호선),서울특별시 성동구 천호대로 지하300(용답동),02-6311-5421,37.5664458277827,127.05318095956
5호선,장한평,서울특별시 동대문구 장안동 472-3 장한평역(5호선),서울특별시 동대문구 천호대로 지하405(장안동),02-6311-5431,37.5615026802954,127.064421108758
5호선,군자(능동),서울특별시 광진구 능동 275-5 군자(능동)역(5호선),서울특별시 광진구 천호대로 지하550(능동),02-6311-5441,37.5573631939521,127.079017279019
5호선,아차산(어린이대공원후문),서울특별시 광진구 능동 256-16 5호선 아차산역(5호선),서울특별시 광진구 천호대로 지하657(능동),02-6311-5451,37.5524011361136,127.08937059931
5호선,광나루(장신대),서울특별시 광진구 광장동 237 광나루역(5호선),서울특별시 광진구 아차산로 지하571(광장동),02-6311-5461,37.5452786641598,127.103686533578
5호선,천호(풍납토성),서울특별시 강동구 천호동 455 천호역(5호선),서울특별시 강동구 천호대로 지하997(천호동),02-6311-5471,37.5385789820645,127.123742434482
5호선,강동,서울특별시 강동구 천호동 447 강동역(5호선),서울특별시 강동구 천호대로 지하1097(천호동),02-6311-5481,37.5357793773303,127.132720388453
5호선,길동,서울특별시 강동구 길동 378 길동역(5호선),서울특별시 강동구 양재대로 지하1480(길동),02-6311-5491,37.5378115570072,127.13999920444
5호선,굽은다리(강동구민회관앞),서울특별시 강동구 명일동 345-12 굽은다리역(5호선),서울특별시 강동구 양재대로 지하1572(명일동),02-6311-5501,37.5457314720664,127.142970847846
5호선,명일,서울특별시 강동구 명일동 312 명일역(5호선),서울특별시 강동구 양재대로 지하1632(명일동),02-6311-5511,37.551257212513,127.144000696892
5호선,고덕,서울특별시 강동구 고덕동 310 고덕역(5호선),서울특별시 강동구 고덕로 지하253(고덕동),02-6311-5521,37.5550473189056,127.15394941502
5호선,상일동,서울특별시 강동구 상일동 148 상일동역(5호선),서울특별시 강동구 고덕로 지하359(상일동),02-6311-5531,37.5566643781876,127.165829221931
5호선,둔촌동,서울특별시 강동구 둔촌동 416 둔촌동역(5호선),서울특별시 강동구 양재대로 지하1369(둔촌동),02-6311-5541,37.5276413733277,127.136190298465
5호선,올림픽공원(한국체대),서울특별시 송파구 방이동 89-28 올림픽공원역(5호선),서울특별시 송파구 양재대로 지하1233(방이동),02-6311-5551,37.5160876492782,127.130600140827
5호선,방이,서울특별시 송파구 방이동 217-2 방이역(5호선),서울특별시 송파구 양재대로 지하1127(방이동),02-6311-5561,37.5085564458698,127.125854699016
